檢核,說明,林管處,工作站,"樣區
編號","樣點
代號","樣區
名稱","樣區樣點
編號","TWD97_X
","TWD97_Y
",經度,緯度,,
檢核ok,,台東,大武,大武4,2,大武24林班大竹溪流域,大武4-02,235780,2482554,120.861846,22.44246,,2357802482554
檢核ok,,台東,大武,大武4,3,大武24林班大竹溪流域,大武4-03,235946,2482699,120.863457,22.44377,,2359462482699
檢核ok,,台東,大武,大武4,4,大武24林班大竹溪流域,大武4-04,236144,2482793,120.86538,22.44462,,2361442482793
檢核ok,,台東,大武,大武4,5,大武24林班大竹溪流域,大武4-05,236331,2482909,120.867196,22.44567,,2363312482909
檢核ok,,台東,大武,大武4,6,大武24林班大竹溪流域,大武4-06,236531,2482997,120.869138,22.44647,,2365312482997
檢核ok,,台東,大武,大武5,1,大武30林班,大武5-01,235928,2480925,120.863298,22.42775,,2359282480925
檢核ok,,台東,大武,大武5,2,大武30林班,大武5-02,235772,2480755,120.861784,22.42621,,2357722480755
檢核ok,,台東,大武,大武5,3,大武30林班,大武5-03,235556,2480728,120.859686,22.425969,,2355562480728
檢核ok,,台東,大武,大武5,4,大武30林班,大武5-04,235501,2480514,120.859154,22.42404,,2355012480514
檢核ok,,台東,大武,大武5,5,大武30林班,大武5-05,235327,2480366,120.857465,22.42270,,2353272480366
檢核ok,,台東,大武,大武5,6,大武30林班,大武5-06,235280,2480172,120.85701,22.42095,,2352802480172
檢核ok,,台東,大武,大武6,1,大武36林班,大武6-01,233538,2478609,120.840105,22.40681,,2335382478609
檢核ok,,台東,大武,大武6,2,大武36林班,大武6-02,233564,2479032,120.840353,22.41063,,2335642479032
檢核ok,,台東,大武,大武6,3,大武36林班,大武6-03,233609,2478821,120.840792,22.40873,,2336092478821
檢核ok,,台東,大武,大武6,4,大武36林班,大武6-04,233760,2478629,120.842261,22.40700,,2337602478629
檢核ok,,台東,大武,大武6,5,大武36林班,大武6-05,233969,2478559,120.844291,22.40637,,2339692478559
檢核ok,,台東,大武,大武6,6,大武36林班,大武6-06,234170,2478530,120.846244,22.40611,,2341702478530
檢核ok,,台東,大武,大武7,1,"大武37,39林班浸水營步道高海拔處",大武7-01,227129,2478062,120.777862,22.40180,,2271292478062
檢核ok,,台東,大武,大武7,2,"大武37,39林班浸水營步道高海拔處",大武7-02,227232,2477867,120.778865,22.40004,,2272322477867
檢核ok,,台東,大武,大武7,3,"大武37,39林班浸水營步道高海拔處",大武7-03,227295,2477650,120.77948,22.39808,,2272952477650
檢核ok,,台東,大武,大武7,4,"大武37,39林班浸水營步道高海拔處",大武7-04,227520,2477650,120.781666,22.39808,,2275202477650
檢核ok,,台東,大武,大武7,5,"大武37,39林班浸水營步道高海拔處",大武7-05,227705,2477537,120.783464,22.39707,,2277052477537
檢核ok,,台東,大武,大武7,6,"大武37,39林班浸水營步道高海拔處",大武7-06,227855,2477372,120.784923,22.39558,,2278552477372
檢核ok,,台東,大武,大武8,1,大武38林班浸水營步道中海拔處,大武8-01,232096,2475161,120.826137,22.37566,,2320962475161
檢核ok,,台東,大武,大武8,2,大武38林班浸水營步道中海拔處,大武8-02,232286,2475058,120.827983,22.37473,,2322862475058
檢核ok,,台東,大武,大武8,3,大武38林班浸水營步道中海拔處,大武8-03,232472,2474931,120.829791,22.37359,,2324722474931
檢核ok,,台東,大武,大武8,4,大武38林班浸水營步道中海拔處,大武8-04,232622,2475084,120.831246,22.37497,,2326222475084
檢核ok,,台東,大武,大武8,5,大武38林班浸水營步道中海拔處,大武8-05,232831,2475068,120.833276,22.37483,,2328312475068
檢核ok,,台東,大武,大武8,6,大武38林班浸水營步道中海拔處,大武8-06,233046,2475110,120.835363,22.37521,,2330462475110
檢核ok,,台東,大武,大武9,1,大武44林班加拉板溪,大武9-01,235473,2472717,120.858953,22.35362,,2354732472717
檢核ok,,台東,大武,大武9,2,大武44林班加拉板溪,大武9-02,235689,2472793,120.861049,22.35431,,2356892472793
檢核ok,,台東,大武,大武9,3,大武44林班加拉板溪,大武9-03,235884,2472853,120.862942,22.35485,,2358842472853
檢核ok,,台東,大武,大武9,4,大武44林班加拉板溪,大武9-04,236062,2472988,120.864669,22.35607,,2360622472988
檢核ok,,台東,大武,大武9,5,大武44林班加拉板溪,大武9-05,236197,2473170,120.865978,22.35772,,2361972473170
檢核ok,,台東,大武,大武9,6,大武44林班加拉板溪,大武9-06,236087,2473340,120.864909,22.35925,,2360872473340
檢核ok,,台東,大武,大武10,1,保安林2520,大武10-01,234931,2468724,120.853728,22.31755,,2349312468724
檢核ok,,台東,大武,大武10,2,保安林2520,大武10-02,235147,2468687,120.855825,22.31722,,2351472468687
檢核ok,,台東,大武,大武10,3,保安林2520,大武10-03,235352,2468618,120.857816,22.31660,,2353522468618
檢核ok,,台東,大武,大武10,4,保安林2520,大武10-04,235319,2468815,120.857493,22.31838,,2353192468815
檢核ok,,台東,大武,大武10,5,保安林2520,大武10-05,235294,2469042,120.857249,22.32043,,2352942469042
檢核ok,,台東,大武,大武10,6,保安林2520,大武10-06,235495,2468936,120.859201,22.31947,,2354952468936
檢核ok,,台東,大武,大武11,1,森永段,大武11-01,232745,2462013,120.832581,22.25692,,2327452462013
檢核ok,,台東,大武,大武11,2,森永段,大武11-02,232529,2461949,120.830486,22.25634,,2325292461949
檢核ok,,台東,大武,大武11,3,森永段,大武11-03,232389,2461797,120.829129,22.25497,,2323892461797
檢核ok,,台東,大武,大武11,4,森永段,大武11-04,232267,2461945,120.827944,22.25630,,2322672461945
檢核ok,,台東,大武,大武11,5,森永段,大武11-05,232182,2462131,120.827117,22.25798,,2321822462131
檢核ok,,台東,大武,大武11,6,森永段,大武11-06,232063,2462326,120.825961,22.25974,,2320632462326
檢核ok,,台東,大武,大武12,1,金山段,大武12-01,246007,2505747,120.961147,22.65198,,2460072505747
檢核ok,,台東,大武,大武12,2,金山段,大武12-02,245842,2505891,120.959542,22.65328,,2458422505891
檢核ok,,台東,大武,大武12,3,金山段,大武12-03,245694,2505704,120.958102,22.65159,,2456942505704
檢核ok,,台東,大武,大武12,4,金山段,大武12-04,245866,2505565,120.959776,22.65033,,2458662505565
檢核ok,,台東,大武,大武12,5,金山段,大武12-05,246047,2505457,120.961537,22.64936,,2460472505457
檢核ok,,台東,大武,大武12,6,金山段,大武12-06,246285,2505327,120.963853,22.64819,,2462852505327
檢核ok,,台東,大武,大武13,1,安朔段,A25-03-01,232681,2468330,120.831892,22.31397,,2326812468330
檢核ok,,台東,大武,大武13,2,安朔段,A25-03-02,232883,2468426,120.833852,22.31484,,2328832468426
檢核ok,,台東,大武,大武13,3,安朔段,A25-03-03,233030,2468571,120.835277,22.31615,,2330302468571
檢核ok,,台東,大武,大武13,4,安朔段,A25-03-04,233225,2468618,120.837169,22.31658,,2332252468618
檢核ok,,台東,大武,大武13,5,安朔段,A25-03-05,233378,2468542,120.838655,22.31589,,2333782468542
檢核ok,,台東,大武,大武13,6,安朔段,A25-03-06,233575,2468635,120.840567,22.31673,,2335752468635
檢核ok,,台東,關山,關山1,1,龍泉,關山1-01,267876,2562435,121.17459,23.16383,,2678762562435
檢核ok,,台東,關山,關山1,2,龍泉,關山1-02,268122,2562555,121.176994,23.16491,,2681222562555
檢核ok,,台東,關山,關山1,3,龍泉,關山1-03,268310,2562734,121.178833,23.16652,,2683102562734
檢核ok,,台東,關山,關山1,4,龍泉,關山1-04,268388,2562954,121.179597,23.16851,,2683882562954
檢核ok,,台東,關山,關山1,5,龍泉,關山1-05,268610,2562863,121.181764,23.16768,,2686102562863
檢核ok,,台東,關山,關山1,6,龍泉,關山1-06,268909,2562738,121.184683,23.16655,,2689092562738
檢核ok,,台東,關山,關山1,7,龍泉,關山1-07,269157,2562590,121.187103,23.16521,,2691572562590
檢核ok,,台東,關山,關山2,1,錦屏林道,關山2-01,267297,2561001,121.168919,23.15088,,2672972561001
檢核ok,,台東,關山,關山2,2,錦屏林道,關山2-02,266859,2561210,121.164644,23.15278,,2668592561210
檢核ok,,台東,關山,關山2,3,錦屏林道,關山2-03,266547,2561558,121.161601,23.15592,,2665472561558
檢核ok,,台東,關山,關山2,4,錦屏林道,關山2-04,266365,2561772,121.159826,23.15786,,2663652561772
檢核ok,,台東,關山,關山2,5,錦屏林道,關山2-05,266594,2561223,121.162056,23.15290,,2665942561223
檢核ok,,台東,關山,關山2,6,錦屏林道,關山2-06,266838,2560892,121.164435,23.14990,,2668382560892
檢核ok,,台東,關山,關山2,7,錦屏林道,關山2-07,266571,2560848,121.161828,23.14951,,2665712560848
檢核ok,,台東,關山,關山2,8,錦屏林道,關山2-08,266328,2561053,121.159457,23.15136,,2663282561053
檢核ok,,台東,關山,關山2,9,錦屏林道,關山2-09,266005,2561022,121.156302,23.15109,,2660052561022
檢核ok,,台東,關山,B21-02,1,南部橫貫公路 1687,B21-02-01,253299,2567427,121.032231,23.20900,,2532992567427
檢核ok,,台東,關山,B21-02,2,南部橫貫公路 1687,B21-02-02,253040,2567430,121.029701,23.20903,,2530402567430
檢核ok,,台東,關山,B21-02,3,南部橫貫公路 1687,B21-02-03,252801,2567630,121.027366,23.21083,,2528012567630
檢核ok,,台東,關山,B21-02,4,南部橫貫公路 1687,B21-02-04,252406,2567696,121.023507,23.21143,,2524062567696
檢核ok,,台東,關山,B21-02,5,南部橫貫公路 1687,B21-02-05,252219,2567936,121.02168,23.21360,,2522192567936
檢核ok,,台東,關山,B21-02,6,南部橫貫公路 1687,B21-02-06,252018,2568232,121.019717,23.21627,,2520182568232
檢核ok,,台東,關山,關山4,1,霧鹿林道,關山4-01,253829,2560379,121.037392,23.14535,,2538292560379
檢核ok,,台東,關山,關山4,2,霧鹿林道,關山4-02,254996,2559821,121.048786,23.14031,,2549962559821
檢核ok,,台東,關山,關山4,3,霧鹿林道,關山4-03,254243,2560054,121.041434,23.14242,,2542432560054
檢核ok,,台東,關山,關山4,4,霧鹿林道,關山4-04,253781,2559997,121.036922,23.14190,,2537812559997
檢核ok,,台東,關山,關山4,5,霧鹿林道,關山4-05,253429,2560172,121.033485,23.14348,,2534292560172
檢核ok,,台東,關山,關山4,6,霧鹿林道,關山4-06,253225,2560543,121.031494,23.14683,,2532252560543
檢核ok,,台東,關山,關山4,7,霧鹿林道,關山4-07,253041,2560852,121.029698,23.14963,,2530412560852
檢核ok,,台東,關山,關山5,1,新武海棗保護區,關山5-01,262006,2558715,121.11723,23.13029,,2620062558715
檢核ok,,台東,關山,關山5,2,新武海棗保護區,關山5-02,262063,2558909,121.117789,23.13204,,2620632558909
檢核ok,,台東,關山,關山5,3,新武海棗保護區,關山5-03,262085,2559212,121.118006,23.13477,,2620852559212
檢核ok,,台東,關山,關山5,4,新武海棗保護區,關山5-04,261291,2559667,121.110256,23.13889,,2612912559667
檢核ok,,台東,關山,關山5,5,新武海棗保護區,關山5-05,260670,2559616,121.104192,23.13843,,2606702559616
檢核ok,,台東,關山,關山5,6,新武海棗保護區,關山5-06,260377,2559934,121.101333,23.14131,,2603772559934
檢核ok,,台東,關山,關山5,7,新武海棗保護區,關山5-07,259909,2559953,121.096763,23.14148,,2599092559953
檢核ok,,台東,關山,關山5,8,新武海棗保護區,關山5-08,259430,2559876,121.092085,23.14079,,2594302559876
檢核ok,,台東,關山,關山6,1,紅石林道,關山06-01,263826,2551587,121.134937,23.06590,,2638262551587
檢核ok,,台東,關山,關山6,2,紅石林道,關山06-02,263910,2551879,121.13576,23.06854,,2639102551879
檢核ok,,台東,關山,關山6,3,紅石林道,關山06-03,263650,2552110,121.133224,23.07063,,2636502552110
檢核ok,,台東,關山,關山6,4,紅石林道,關山06-04,263186,2552580,121.1287,23.07487,,2631862552580
檢核ok,,台東,關山,關山6,5,紅石林道,關山06-05,263222,2553061,121.129055,23.07922,,2632222553061
檢核ok,,台東,關山,關山6,6,紅石林道,關山06-06,263038,2552911,121.127258,23.07786,,2630382552911
檢核ok,,台東,關山,關山6,7,紅石林道,關山06-07,262779,2552649,121.124728,23.07550,,2627792552649
檢核ok,,台東,關山,關山6,8,紅石林道,關山06-08,262512,2552282,121.122119,23.07219,,2625122552282
檢核ok,,台東,關山,關山6,9,紅石林道,關山06-09,262392,2551934,121.120945,23.06905,,2623922551934
檢核ok,,台東,關山,關山7,1,武陵,關山07-01,260698,2541212,121.104337,22.97223,,2606982541212
檢核ok,,台東,關山,關山7,2,武陵,關山07-02,260630,2540868,121.103671,22.96913,,2606302540868
檢核ok,,台東,關山,關山7,3,武陵,關山07-03,260445,2540701,121.101866,22.96762,,2604452540701
檢核ok,,台東,關山,關山7,4,武陵,關山07-04,260111,2540781,121.098609,22.96834,,2601112540781
檢核ok,,台東,關山,關山7,5,武陵,關山07-05,259523,2540877,121.092875,22.96921,,2595232540877
檢核ok,,台東,關山,關山7,6,武陵,關山07-06,260022,2541021,121.097743,22.97051,,2600222541021
檢核ok,,台東,關山,關山7,7,武陵,關山07-07,259526,2541199,121.092906,22.97212,,2595262541199
檢核ok,,台東,關山,關山7,8,武陵,關山07-08,259324,2541245,121.090937,22.97254,,2593242541245
檢核ok,,台東,關山,關山7,9,武陵,關山07-09,259290,2541485,121.090606,22.97471,,2592902541485
檢核ok,,台東,關山,關山8,1,永康廢棄林道,關山08-01,260935,2536440,121.106615,22.92914,,2609352536440
檢核ok,,台東,關山,關山8,2,永康廢棄林道,關山08-02,260716,2536392,121.104479,22.92870,,2607162536392
檢核ok,,台東,關山,關山8,3,永康廢棄林道,關山08-03,260509,2536197,121.102459,22.92694,,2605092536197
檢核ok,,台東,關山,關山8,4,永康廢棄林道,關山08-04,260376,2536318,121.101164,22.92804,,2603762536318
檢核ok,,台東,關山,關山8,5,永康廢棄林道,關山08-05,260115,2536313,121.098619,22.92799,,2601152536313
檢核ok,,台東,關山,關山8,6,永康廢棄林道,關山08-06,260090,2536566,121.098377,22.93028,,2600902536566
檢核ok,,台東,關山,關山8,7,永康廢棄林道,關山08-07,259735,2536771,121.094917,22.93213,,2597352536771
檢核ok,,台東,關山,A22-02,1,台東縣內本鹿古道※,A22-02-01,253956,2530024,121.038554,22.87122,,2539562530024
檢核ok,,台東,關山,A22-02,2,台東縣內本鹿古道※,A22-02-02,253708,2530359,121.036138,22.87425,,2537082530359
檢核ok,,台東,關山,A22-02,3,台東縣內本鹿古道※,A22-02-03,253568,2530206,121.034773,22.87287,,2535682530206
檢核ok,,台東,關山,A22-02,4,台東縣內本鹿古道※,A22-02-04,253309,2530140,121.032249,22.87227,,2533092530140
檢核ok,,台東,關山,A22-02,5,台東縣內本鹿古道※,A22-02-05,253115,2530061,121.030358,22.87156,,2531152530061
檢核ok,,台東,關山,A22-02,6,台東縣內本鹿古道※,A22-02-06,252887,2530120,121.028136,22.87209,,2528872530120
檢核ok,,台東,關山,關山10,1,鹿野高臺,關山10-01,263303,2534654,121.129687,22.91299,,2633032534654
檢核ok,,台東,關山,關山10,2,鹿野高臺,關山10-02,263586,2534794,121.132447,22.91425,,2635862534794
檢核ok,,台東,關山,關山10,3,鹿野高臺,關山10-03,263429,2535088,121.130919,22.91691,,2634292535088
檢核ok,,台東,關山,關山10,4,鹿野高臺,關山10-04,263138,2535265,121.128083,22.91851,,2631382535265
檢核ok,,台東,關山,關山10,5,鹿野高臺,關山10-05,262962,2535689,121.126371,22.92234,,2629622535689
檢核ok,,台東,關山,關山10,6,鹿野高臺,關山10-06,262832,2535228,121.1251,22.91818,,2628322535228
檢核ok,,台東,關山,關山10,7,鹿野高臺,關山10-07,262619,2535029,121.123022,22.91638,,2626192535029
檢核ok,,台東,關山,關山11,1,鸞山松林,關山11-01,266812,2532922,121.163876,22.89732,,2668122532922
檢核ok,,台東,關山,關山11,2,鸞山松林,關山11-02,267256,2533504,121.16821,22.90257,,2672562533504
檢核ok,,台東,關山,關山11,3,鸞山松林,關山11-03,267690,2533374,121.172439,22.90139,,2676902533374
檢核ok,,台東,關山,關山11,4,鸞山松林,關山11-04,267914,2533392,121.174623,22.90155,,2679142533392
檢核ok,,台東,關山,關山11,5,鸞山松林,關山11-05,268320,2533697,121.178584,22.90430,,2683202533697
檢核ok,,台東,關山,關山11,6,鸞山松林,關山11-06,268426,2534141,121.179623,22.90831,,2684262534141
檢核ok,,台東,關山,關山12,1,寶華,關山12-01,268873,2541648,121.184072,22.97610,,2688732541648
檢核ok,,台東,關山,關山12,2,寶華,關山12-02,268845,2541232,121.183794,22.97234,,2688452541232
檢核ok,,台東,關山,關山12,3,寶華,關山12-03,269167,2541120,121.186933,22.97132,,2691672541120
檢核ok,,台東,關山,關山12,4,寶華,關山12-04,269524,2540716,121.19041,22.96767,,2695242540716
檢核ok,,台東,關山,關山12,5,寶華,關山12-05,269430,2540311,121.189488,22.96402,,2694302540311
檢核ok,,台東,關山,關山12,6,寶華,關山12-06,270031,2540129,121.195347,22.96237,,2700312540129
檢核ok,,台東,關山,關山12,7,寶華,關山12-07,269445,2539852,121.189628,22.95987,,2694452539852
檢核ok,,台東,關山,關山13,1,電光日出,關山13-01,269358,2547427,121.188875,23.02828,,2693582547427
檢核ok,,台東,關山,關山13,2,電光日出,關山13-02,268405,2547258,121.179575,23.02676,,2684052547258
檢核ok,,台東,關山,關山13,3,電光日出,關山13-03,268336,2546932,121.178898,23.02382,,2683362546932
檢核ok,,台東,關山,關山13,4,電光日出,關山13-04,268766,2547135,121.183095,23.02565,,2687662547135
檢核ok,,台東,關山,關山13,5,電光日出,關山13-05,268744,2546855,121.182877,23.02312,,2687442546855
檢核ok,,台東,關山,關山13,6,電光日出,關山13-06,269212,2547019,121.187445,23.02460,,2692122547019
檢核ok,,台東,關山,關山13,7,電光日出,關山13-07,269308,2546701,121.188378,23.02172,,2693082546701
檢核ok,,台東,關山,關山13,8,電光日出,關山13-08,269610,2546484,121.191322,23.01976,,2696102546484
檢核ok,,台東,關山,關山13,9,電光日出,關山13-09,269827,2546658,121.193441,23.02133,,2698272546658
檢核ok,,台東,關山,關山14,1,富興山棕寮,關山14-01,272625,2552701,121.220828,23.07587,,2726252552701
檢核ok,,台東,關山,關山14,2,富興山棕寮,關山14-02,272965,2552562,121.224145,23.07461,,2729652552562
檢核ok,,台東,關山,關山14,3,富興山棕寮,關山14-03,272940,2552250,121.223896,23.07179,,2729402552250
檢核ok,,台東,關山,關山14,4,富興山棕寮,關山14-04,273227,2552061,121.226695,23.07008,,2732272552061
檢核ok,,台東,關山,關山14,5,富興山棕寮,關山14-05,273528,2551828,121.229629,23.06797,,2735282551828
檢核ok,,台東,關山,關山14,6,富興山棕寮,關山14-06,273510,2551483,121.229448,23.06485,,2735102551483
檢核ok,,台東,關山,關山14,7,富興山棕寮,關山14-07,274143,2551927,121.235632,23.06885,,2741432551927
檢核ok,,台東,關山,關山14,8,富興山棕寮,關山14-08,274279,2551476,121.236953,23.06478,,2742792551476
檢核ok,,台東,成功,成功1,1,成功事業區13林班,成功1-01,279351,2540397,121.286242,22.96465,,2793512540397
檢核ok,,台東,成功,成功1,2,成功事業區13林班,成功1-02,279577,2540399,121.288446,22.96466,,2795772540399
檢核ok,,台東,成功,成功1,3,成功事業區13林班,成功1-03,279779,2540407,121.290416,22.96473,,2797792540407
檢核ok,,台東,成功,成功1,4,成功事業區13林班,成功1-04,279878,2540599,121.291385,22.96646,,2798782540599
檢核ok,,台東,成功,成功1,5,成功事業區13林班,成功1-05,280069,2540663,121.293249,22.96704,,2800692540663
檢核ok,,台東,成功,成功1,6,成功事業區13林班,成功1-06,280270,2540570,121.295207,22.96619,,2802702540570
檢核ok,,台東,成功,成功2,1,成功事業區37林班,成功2-01,282121,2545503,121.313362,23.01071,,2821212545503
檢核ok,,台東,成功,成功2,2,成功事業區37林班,成功2-02,282338,2545335,121.315475,23.00919,,2823382545335
檢核ok,,台東,成功,成功2,3,成功事業區37林班,成功2-03,282580,2545414,121.317838,23.00989,,2825802545414
檢核ok,,台東,成功,成功2,4,成功事業區37林班,成功2-04,282717,2545646,121.319179,23.01199,,2827172545646
檢核ok,,台東,成功,成功2,5,成功事業區37林班,成功2-05,282893,2545783,121.320899,23.01322,,2828932545783
檢核ok,,台東,成功,成功2,6,成功事業區37林班,成功2-06,282794,2546009,121.319938,23.01526,,2827942546009
檢核ok,,台東,成功,成功3,1,成功事業區28林班,成功3-01,275238,2549180,121.246274,23.04403,,2752382549180
檢核ok,,台東,成功,成功3,2,成功事業區28林班,成功3-02,275193,2549482,121.24584,23.04676,,2751932549482
檢核ok,,台東,成功,成功3,3,成功事業區28林班,成功3-03,275294,2549753,121.24683,23.04920,,2752942549753
檢核ok,,台東,成功,成功3,4,成功事業區28林班,成功3-04,275442,2549972,121.248278,23.05118,,2754422549972
檢核ok,,台東,成功,成功3,5,成功事業區28林班,成功3-05,275645,2550092,121.250261,23.05226,,2756452550092
檢核ok,,台東,成功,成功3,6,成功事業區28林班,成功3-06,275520,2550326,121.249045,23.05438,,2755202550326
檢核ok,,台東,成功,成功4,1,成功事業區30林班,成功4-01,279195,2550593,121.284914,23.05673,,2791952550593
檢核ok,,台東,成功,成功4,2,成功事業區30林班,成功4-02,279042,2550770,121.283424,23.05833,,2790422550770
檢核ok,,台東,成功,成功4,3,成功事業區30林班,成功4-03,278764,2550914,121.280713,23.05963,,2787642550914
檢核ok,,台東,成功,成功4,4,成功事業區30林班,成功4-04,278510,2551117,121.278238,23.06147,,2785102551117
檢核ok,,台東,成功,成功4,5,成功事業區30林班,成功4-05,278472,2551370,121.277872,23.06376,,2784722551370
檢核ok,,台東,成功,成功4,6,成功事業區30林班,成功4-06,278272,2551491,121.275923,23.06485,,2782722551491
檢核ok,,台東,成功,成功5,1,成功事業區32林班,成功5-01,277405,2555158,121.267527,23.09798,,2774052555158
檢核ok,,台東,成功,成功5,2,成功事業區32林班,成功5-02,277593,2555310,121.269365,23.09935,,2775932555310
檢核ok,,台東,成功,成功5,3,成功事業區32林班,成功5-03,277803,2555322,121.271415,23.09946,,2778032555322
檢核ok,,台東,成功,成功5,4,成功事業區32林班,成功5-04,277917,2555158,121.272525,23.09797,,2779172555158
檢核ok,,台東,成功,成功5,5,成功事業區32林班,成功5-05,278132,2555319,121.274626,23.09942,,2781322555319
檢核ok,,台東,成功,成功5,6,成功事業區32林班,成功5-06,278305,2555458,121.276318,23.10068,,2783052555458
檢核ok,,台東,成功,成功6,1,成功事業區40林班,成功6-01,284907,2558176,121.340829,23.12509,,2849072558176
檢核ok,,台東,成功,成功6,2,成功事業區40林班,成功6-02,285137,2558299,121.343077,23.12620,,2851372558299
檢核ok,,台東,成功,成功6,3,成功事業區40林班,成功6-03,285360,2558187,121.345252,23.12518,,2853602558187
檢核ok,,台東,成功,成功6,4,成功事業區40林班,成功6-04,285525,2558363,121.346867,23.12677,,2855252558363
檢核ok,,台東,成功,成功6,5,成功事業區40林班,成功6-05,285752,2558469,121.349086,23.12772,,2857522558469
檢核ok,,台東,成功,成功6,6,成功事業區40林班,成功6-06,285975,2558454,121.351263,23.12758,,2859752558454
檢核ok,,台東,成功,成功7,1,成功事業區41林班,成功7-01,286585,2560428,121.357266,23.14539,,2865852560428
檢核ok,,台東,成功,成功7,2,成功事業區41林班,成功7-02,286761,2560574,121.358988,23.14671,,2867612560574
檢核ok,,台東,成功,成功7,3,成功事業區41林班,成功7-03,286793,2560796,121.359306,23.14871,,2867932560796
檢核ok,,台東,成功,成功7,4,成功事業區41林班,成功7-04,287026,2560363,121.361571,23.14480,,2870262560363
檢核ok,,台東,成功,成功7,5,成功事業區41林班,成功7-05,287328,2560234,121.364517,23.14363,,2873282560234
檢核ok,,台東,成功,成功7,6,成功事業區41林班,成功7-06,287602,2559967,121.367186,23.14121,,2876022559967
檢核ok,,台東,成功,成功8,1,成功事業區47林班,成功8-01,287866,2570551,121.370027,23.23678,,2878662570551
檢核ok,,台東,成功,成功8,2,成功事業區47林班,成功8-02,288332,2570415,121.374577,23.23554,,2883322570415
檢核ok,,台東,成功,成功8,3,成功事業區47林班,成功8-03,288573,2569722,121.376915,23.22928,,2885732569722
檢核ok,,台東,成功,成功8,4,成功事業區47林班,成功8-04,289134,2569511,121.382391,23.22736,,2891342569511
檢核ok,,台東,成功,成功8,5,成功事業區47林班,成功8-05,288557,2569212,121.376745,23.22467,,2885572569212
檢核ok,,台東,成功,成功8,6,成功事業區47林班,成功8-06,289309,2568908,121.384085,23.22191,,2893092568908
檢核ok,,台東,成功,成功9,1,成功事業區49林班,成功9-01,289112,2573000,121.382266,23.25887,,2891122573000
檢核ok,,台東,成功,成功9,2,成功事業區49林班,成功9-02,289270,2572785,121.383804,23.25692,,2892702572785
檢核ok,,台東,成功,成功9,3,成功事業區49林班,成功9-03,289394,2572519,121.385009,23.25452,,2893942572519
檢核ok,,台東,成功,成功9,4,成功事業區49林班,成功9-04,289644,2572463,121.387451,23.25400,,2896442572463
檢核ok,,台東,成功,成功9,5,成功事業區49林班,成功9-05,289861,2572432,121.389571,23.25372,,2898612572432
檢核ok,,台東,成功,成功9,6,成功事業區49林班,成功9-06,290105,2572355,121.391954,23.25302,,2901052572355
檢核ok,,台東,成功,成功10,1,成功事業區52林班,成功10-01,292867,2580735,121.419184,23.32862,,2928672580735
檢核ok,,台東,成功,成功10,2,成功事業區52林班,成功10-02,293075,2580570,121.421213,23.32712,,2930752580570
檢核ok,,台東,成功,成功10,3,成功事業區52林班,成功10-03,293341,2580622,121.423815,23.32759,,2933412580622
