物種,時段,距離,數量,結群,備註,地點,樣區編號,縣市,樣點編號,"棲地類型
(主要)","棲地類型
(次要)","棲地類型
(其他說明)","棲地類型
(小水體)","樣區海拔
(m)",座標系統,X座標,Y座標,座標系統,X座標,Y座標,調查者,"調查旅次
編號",天氣代號,風速代號,"開始時間
（時）","開始時間
（分）",年,月,日, 其他備註
臺灣獼猴,A,A,9,Y,,屏東縣社頂自然公園,A26-04,屏東縣,6,A1,,,,185,WGS84/經緯度,"120°49'23.38""","21°57'11.65""",WGS84/經緯度,120.8231611,21.95323611,蔡乙榮,1,C,1,7,24,2016,3,13,
臺灣獼猴,A,B,1,N,,屏東縣社頂自然公園,A26-04,屏東縣,2,A1,,,,196,WGS84/經緯度,"120°49'20.67""","21°57'33.66""",WGS84/經緯度,120.8224083,21.95935,蔡乙榮,2,C,0,5,30,2016,5,27,
臺灣獼猴,A,A,7,Y,,屏東縣社頂自然公園,A26-04,屏東縣,6,A1,,,,185,WGS84/經緯度,"120°49'23.38""","21°57'11.65""",WGS84/經緯度,120.8231611,21.95323611,蔡乙榮,2,B,0,6,43,2016,5,27,
臺灣獼猴,B,A,1,N,只看見1隻,南投日月潭,A32-02,南投縣,8,A5,D1,桂竹,,762,TWD97/TM2,239736,2639596,WGS84/經緯度,120.8992252,23.86066533,林瑞興,2,B,0,7,27,2016,5,4,
臺灣獼猴,A,A,2,Y,一群,南投日月潭,A32-02,南投縣,2,A5,H,H=10M道路,,809,TWD97/TM2,239702,2638919,WGS84/經緯度,120.8988961,23.85455199,林瑞興,2,B,0,5,25,2016,5,4,
臺灣獼猴,X,D,10,Y,台灣獼猴(群),雲林湖本,A33-08,雲林縣,5,A5,A7,造林地,,179,TWD97/TM2,211921,2622064,WGS84/經緯度,120.6265851,23.70193683,林瑞興,1,A,0,7,7,2016,3,30,
臺灣獼猴,A,B,1,Y,聽見1隻，無法確定數量,雲林湖本,A33-08,雲林縣,8,A5,D4,,,,TWD97/TM2,212547,2622114,WGS84/經緯度,120.6327225,23.702403,林瑞興,2,A,0,5,11,2016,5,19,
臺灣獼猴,B,B,1,Y,聽見，數量不確認,雲林湖本,A33-08,雲林縣,3,A5,,,A,200,TWD97/TM2,212771,2621850,WGS84/經緯度,120.6349257,23.70002435,林瑞興,2,A,0,5,40,2016,5,19,
臺灣獼猴,A,A,2,Y,群，數量>10,雲林湖本,A33-08,雲林縣,2,A5,,,A,164,TWD97/TM2,212477,2621759,WGS84/經緯度,120.6320451,23.69919581,林瑞興,2,A,0,5,55,2016,5,19,
臺灣獼猴,B,A,2,Y,2隻，年輕公猴,雲林湖本,A33-08,雲林縣,5,A5,A7,造林地,,179,TWD97/TM2,211921,2622064,WGS84/經緯度,120.6265851,23.70193683,林瑞興,2,A,0,6,14,2016,5,19,
臺灣獼猴,A,A,2,Y,群，數量>10，覓食豬腳楠果實,雲林湖本,A33-08,雲林縣,10,A5,,,,,TWD97/TM2,211679,2621708,WGS84/經緯度,120.6242212,23.6987165,林瑞興,2,A,0,6,45,2016,5,19,
臺灣獼猴,B,C,1,N,,高雄市中寮山,A34-49,高雄市,9,B5,,,,60,WGS84/經緯度,"120°27'15.43""","22°49'30.85""",WGS84/經緯度,120.4542861,22.82523611,李煥財.黃秋萍.曾志成,1,C,1,8,25,105,3,12,
臺灣獼猴,A,A,2,Y,,甲仙小林,A37-01,高雄市,7,D3,C1,,,457,TWD67/TM2,214393,2566493,WGS84/經緯度,120.6602351,23.19832882,林傳傑、黃百崇,2,A,2,8,41,2016,5,14,
臺灣獼猴,A,A,1,N,,宜蘭縣往明池的路,B06-01,宜蘭縣,5,A3,,,,1209,WGS84/經緯度,"121°29'05.15""","24°37'56.41""",WGS84/經緯度,121.4847639,24.63233611,吳俊德 林麗玲,1,B,0,6,54,105,4,23,
臺灣獼猴,A,C,1,N,台灣獼猴乙群,鴛鴦湖,B06-07,宜蘭縣,5,,,,,1683,WGS84/經緯度,121°24'44.54'',24°35'02.58'',WGS84/經緯度,121.412346,24.58405,曾麗熹、吳俊德、林麗玲、張子文、周明珠,2,,,6,20,2016,6,12,
臺灣獼猴,A,C,4,N,台灣獼猴兩大群,鴛鴦湖,B06-07,宜蘭縣,4,,,,,1688,WGS84/經緯度,121°24'44.76'',24°34'54.32'',WGS84/經緯度,121.4124333,24.58175556,曾麗熹、吳俊德、林麗玲、張子文、周明珠,1,,,6,20,2016,5,8,
台灣獼猴,,,1,Y,,鹿場A,B12-02,苗栗縣,2,A1,,,,,,,,,,,黃宏森,2,A,0,8,16,2016,6,18,
臺灣獼猴,X,X,3,Y,,苗栗縣大鹿林道,B13-03,苗栗縣,6,A3,,,A,2018,WGS84/經緯度,121.12944,24.50139,WGS84/經緯度,121.12944,24.50139,"魏紹倫, 張儷瓊",2,C,1,8,0,2016,6,5,
臺灣獼猴,A,A,2,Y,,雪山登山口,B14-02,台中市,7,C2,A1,造林,,2000.21106,WGS84/經緯度,"121°18'09.75""","24°23'03.97""",WGS84/經緯度,121.3027083,24.38443611,陳惠玲,1,A,1,8,0,2016,4,5,
臺灣獼猴,A,A,2,Y,,台東縣向陽,B21-01,台東縣,10,,,,,,WGS84/經緯度,"120°59'28.02""","23°14'41.02""",WGS84/經緯度,120.9911167,23.24472778,楊昌諺,1,B,0,7,28,2016,4,1,
臺灣獼猴,A,A,4,Y,,南投縣萬大水庫,B30-02,南投縣,9,A1,D1,,,1057,WGS84/經緯度,"121°07'54.09""","23°59'09.47""",WGS84/經緯度,121.1316917,23.98596389,張泳達,1,B,0,7,5,2016,4,17,
臺灣獼猴,B,B,1,Y,在叫,南投縣瑞岩溪,B30-04,南投縣,9,A1,,,,2182,TWD67/TM2,268825,2666955,WGS84/經緯度,121.1933374,24.10576088,曾祥霖,1,A,0,9,2,2016,4,20,
臺灣獼猴,B,C,5,Y,,草嶺國小,B33-01,雲林縣,3,A1,C3,,,967,WGS84/經緯度,"120°41'23.70""","23°36'08.80""",WGS84/經緯度,120.6899167,23.60244444,林淑真,1,A,1,8,57,2016,4,7,
臺灣獼猴,B,C,5,Y,,草嶺國小,B33-01,雲林縣,4,A1,C3,,,992,WGS84/經緯度,"120°41'31.40""","23°36'09.70""",WGS84/經緯度,120.6920556,23.60269444,林淑真,1,A,1,9,6,2016,4,7,
臺灣獼猴,A,B,13,Y,,嘉義縣竹崎鄉光華村,B35-01,嘉義縣,3,A5,D4,,,1192,WGS84/經緯度,"120°41'32.8""","23°28'21.4""",WGS84/經緯度,120.6924444,23.47261111,葉昭瑜.李俊輝.葉盈標.鄧麗君,1,C,1,6,52,2016,4,10,
臺灣獼猴,X,C,8,Y,補充記錄供參考,嘉義縣竹崎鄉光華村,B35-01,嘉義縣,5,A5,A2,,,1102,WGS84/經緯度,"120°41'02.9""","23°28'25.6""",WGS84/經緯度,120.6841389,23.47377778,葉昭瑜.李俊輝.葉盈標.鄧麗君,2,B,0,10,50,2016,6,19,
臺灣獼猴,A,A,1,N,,藤枝駐在所,B38-07,高雄市,3,A1,A2,,,1617,TWD97/TM2,227192,2553854,WGS84/經緯度,120.7773682,23.08627467,張仁川,2,A,0,6,4,2016,6,16,
臺灣獼猴,B,A,2,Y,,藤枝駐在所,B38-07,高雄市,4,A1,,,,1618,TWD97/TM2,227411,2554083,WGS84/經緯度,120.7795025,23.08834567,張仁川,2,A,0,6,19,2016,6,16,
臺灣獼猴,B,B,1,N,,藤枝駐在所,B38-07,高雄市,6,A1,,,,1628,TWD97/TM2,227999,2554300,WGS84/經緯度,120.785239,23.09031321,張仁川,2,B,0,6,46,2016,6,16,
臺灣獼猴,A,A,2,Y,,寶山國小二集團分校,B38-08,高雄市,1,A1,,,,1181,TWD97/TM2,220944,2548720,WGS84/經緯度,120.7164784,23.03981407,張仁川,1,A,0,7,49,2016,4,21,
臺灣獼猴,A,A,1,N,,寶山國小二集團分校,B38-08,高雄市,2,A1,,,,1200,TWD97/TM2,221029,2548948,WGS84/經緯度,120.7173035,23.04187452,張仁川,1,A,0,7,38,2016,4,21,
臺灣獼猴,B,B,,N,聲音聽起來不像是猴群,雪東,C14-01,台中市,1,,,,,,WGS85/經緯度,121.279534,24.389989,WGS86/經緯度,121.279534,24.389989,楊正雄,1,B,2,9,21,2016,5,7,
臺灣獼猴,A,B,,Y,叫聲(猴群),369,C14-02,台中市,2,,,,,,WGS86/經緯度,121.262193,24.389867,WGS87/經緯度,121.262193,24.389867,楊正雄,1,B,1,6,54,2016,5,7,
臺灣獼猴,A,A,2,Y,,合歡山遊客中心,C30-02,南投縣,4,A2,C5,,,3020,TWD97/TM2,279134,2672789,WGS84/經緯度,121.286708,24.16014729,楊昌諺,2,A,0,5,45,2016,6,24,
臺灣獼猴,B,B,10,Y,,昆陽,C30-04,南投縣,3,A3,,,,2879,TWD67/TM2,275559,2668488,WGS84/經緯度,121.2596074,24.11950533,蘇美如,2,A,0,6,46,2016,6,22,
臺灣獼猴,X,X,5,Y,群聚，4隻成猴1隻小猴抱著媽媽，在覓食。我們靠近就一哄而散,三峽竹崙,,新北市,9,A5,B5,,A,775,WGS84/經緯度,121.27.407,24.52.359,WGS84/經緯度,121.27.407,24.52.359,吳珮怡,2,B,0,9,15,105,5,24,
台灣獼猴,A,B,2,Y,,蘇澳新站（箕山橋）,A03-09,宜蘭縣,6,,,,,,WGS84/經緯度,"121°50'02.34""","24°36'11.65""",WGS84/經緯度,121.8339833,24.60323611,"范孟雯,黃國維",2,A,0,6,4,2016,6,1,
