"年","樣區名稱","樣區編號","樣點代號","TWD97_X","TWD97_Y"
2023,"巒大61林班","MA-D14-09","1","239699","2629121"
2023,"白不仔溪橋","MA-D15-05","4","234260","2622182"
2023,"仙女瀑布","MA-D16-02","2","231424","2668509"
2023,"仙女瀑布","MA-D16-02","4","231713","2668891"
2023,"國姓埔源","MA-D16-06","5","240496","2662250"
2023,"阿里山61林班","MA-D18-01","1","214300","2627552"
2023,"阿里山61林班","MA-D18-01","4","214235","2627171"
2023,"阿里山61林班","MA-D18-01","6","214039","2626612"
2023,"阿里山63林班林北大坑","MA-D18-02","4","212347","2628235"
2023,"阿里山63林班林北大坑","MA-D18-02","5","212474","2628080"
2023,"勞水坑","MA-D18-04","3","216284","2616262"
2023,"勞水坑","MA-D18-04","6","215778","2616463"
2023,"玉山里","MA-E19-11","2","200986","2552190"
2023,"瑞里","MA-E21-10","1","215135","2603361"
2023,"瑞里","MA-E21-10","3","214956","2603544"
2023,"瑞峰","MA-E21-11","1","215897","2607268"
2023,"隙頂國小草山分校","MA-E22-03","2","213515","2585418"
2023,"隙頂國小草山分校","MA-E22-03","5","213199","2584752"
2023,"隙頂國小草山分校","MA-E22-03","6","213229","2584509"
2023,"隙頂國小草山分校","MA-E22-03","3","213192","2585241"
2023,"山麻湖公車站","MA-E22-04","4","210645","2583519"
2023,"蘆籐坪","MA-E22-05","2","212674","2582757"
2023,"蘆籐坪","MA-E22-05","4","212453","2582326"
2023,"蘆籐坪","MA-E22-05","5","212168","2582316"
2023,"九恭崎腳","MA-E22-08","2","212638","2577334"
2023,"九恭崎腳","MA-E22-08","6","213312","2576795"
2023,"九恭崎腳","MA-E22-08","4","213075","2577138"
2023,"長枝坑溪","MA-E22-09","3","209186","2573693"
2023,"長枝坑溪","MA-E22-09","4","209410","2573629"
2023,"長枝坑溪","MA-E22-09","5","209558","2573452"
2023,"第三莊公車站","MA-E22-10","3","205618","2569931"
2023,"第三莊公車站","MA-E22-10","6","206008","2569442"
2023,"七坑溫泉","MA-F23-04","3","223044","2554659"
2023,"七坑溫泉","MA-F23-04","6","222502","2554835"
2023,"扇平林道","MA-F23-09","1","215110","2539754"
2023,"31林班","MA-F24-02","4","210206","2552193"
2023,"34林班","MA-F24-03","1","207139","2549486"
2023,"47,49林班","MA-F24-04","3","209201","2538709"
2023,"47,49林班","MA-F24-04","2","208990","2539299"
2023,"46林班","MA-F24-08","1","207504","2537488"
2023,"46林班","MA-F24-08","6","207651","2538798"
2023,"月光山","MA-F24-10","1","203175","2535811"
2023,"內門區東勢埔","MA-F24-11","5","196807","2537001"
2023,"大津瀑布(慈津保宮)","MA-F25-01","4","213258","2528899"
2023,"三地門園區","MA-F25-04","1","215277","2511711"
2023,"三地門園區","MA-F25-04","4","216812","2511296"
2023,"三地門園區","MA-F25-04","6","217488","2510950"
2023,"往佳暮","MA-F25-06","1","220729","2517906"
2023,"往佳暮","MA-F25-06","3","220364","2518580"
2023,"枋山溪管制站","MA-F25-08","7","223081","2463930"
2023,"丹路","MA-F25-10","2","223996","2455438"
2023,"丹路","MA-F25-10","1","224069","2455630"
2023,"丹路","MA-F25-10","9","224207","2455864"
2023,"竹坑","MA-F25-11","3","220264","2451197"
2023,"墾丁苗圃","MA-F26-01","2","230136","2428382"
2023,"墾丁苗圃","MA-F26-01","6","230083","2428768"
2023,"墾丁苗圃","MA-F26-01","4","230310","2428807"
2023,"墾丁苗圃","MA-F26-01","5","230038","2428568"
2023,"恆春事業區第13林班","MA-F26-05","1","227277","2449661"
2023,"恆春事業區第13林班","MA-F26-05","3","227176","2450113"
2023,"恆春事業區第13林班","MA-F26-05","4","226947","2450151"
2023,"恆春事業區第57林班","MA-F26-06","4","233839","2445032"
2023,"恆春事業區第53、54林班","MA-F26-11","1","238670","2443090"
2023,"阿眉溪","MA-G27-05","2","284793","2571418"
2023,"阿眉溪","MA-G27-05","3","284682","2571575"
2023,"台23線","MA-G27-06","2","279048","2557324"
2023,"長良","MA-G27-08","2","275202","2573111"
2023,"木瓜山8林班","MA-G28-01","3","304985","2656305"
2023,"林田山144林班","MA-G28-04","3","309303","2643377"
2023,"嶺頂路207","MA-G28-05","3","308132","2639544"
2023,"嶺頂路207","MA-G28-05","5","307864","2639248"
2023,"月眉208卡箱","MA-G28-06","1","307295","2640471"
2023,"月眉208卡箱","MA-G28-06","6","306837","2640233"
2023,"三棧溪","MA-G29-02","2","310798","2667236"
2023,"三棧溪","MA-G29-02","1","310960","2667098"
2023,"三棧溪","MA-G29-02","3","311851","2666270"
2023,"三棧溪","MA-G29-02","7","310984","2666598"
2023,"克寶山","MA-G29-05","7","326070","2687978"
2023,"大武1林班麻林道","MA-H31-01","3","243389","2499059"
2023,"大武1林班麻林道","MA-H31-01","4","243600","2499131"
2023,"大武1林班麻林道","MA-H31-01","6","243905","2499416"
2023,"大武21林班金崙溪流域","MA-H31-03","3","239449","2490496"
2023,"大武21林班金崙溪流域","MA-H31-03","2","239309","2490338"
2023,"大武30林班","MA-H31-05","3","235556","2480728"
2023,"大武44林班加拉板溪","MA-H31-09","3","235854","2472950"
2023,"大武44林班加拉板溪","MA-H31-09","4","236002","2473074"
2023,"保安林2520","MA-H31-10","6","235495","2468936"
2023,"保安林2520","MA-H31-10","3","235352","2468618"
2023,"台東30林班","MA-H32-08","4","254226","2515796"
2023,"台東30林班","MA-H32-08","5","254394","2515670"
2023,"台東30林班","MA-H32-08","6","254179","2515129"
2023,"台東31林班知本林道","MA-H32-09","2","249535","2512164"
2023,"台東31林班知本林道","MA-H32-09","5","250257","2511245"
2023,"台東31林班知本林道","MA-H32-09","6","250499","2511105"
2023,"月娘坡","MA-H32-10","3","251737","2509743"
2023,"月娘坡","MA-H32-10","2","251783","2510051"
2023,"龍泉","MA-H33-01","3","268310","2562734"
2023,"龍泉","MA-H33-01","4","268388","2562954"
2023,"新武海棗保護區","MA-H33-05","4","261291","2559667"
2023,"新武海棗保護區","MA-H33-05","5","260670","2559616"
2023,"鸞山松林","MA-H33-11","6","268426","2534141"
2023,"寶華","MA-H33-12","4","269524","2540716"
2023,"寶華","MA-H33-12","6","270031","2540129"
2023,"寶華","MA-H33-12","7","269445","2539852"
2023,"電光日出","MA-H33-13","7","269308","2546701"
2023,"富興山棕寮","MA-H33-14","4","273227","2552061"
2023,"富興山棕寮","MA-H33-14","7","274143","2551927"
2023,"富興山棕寮","MA-H33-14","8","274279","2551476"
2023,"成功事業區13林班","MA-H34-01","2","279577","2540399"
2023,"成功事業區37林班","MA-H34-02","1","282121","2545503"
2023,"成功事業區28林班","MA-H34-03","4","275442","2549972"
2023,"成功事業區32林班","MA-H34-05","3","277917","2555158"
2023,"成功事業區32林班","MA-H34-05","2","277593","2555310"
2023,"成功事業區40林班","MA-H34-06","1","284907","2558176"
2023,"成功事業區40林班","MA-H34-06","2","285137","2558299"
2023,"成功事業區40林班","MA-H34-06","4","285525","2558363"
2023,"成功事業區40林班","MA-H34-06","6","285975","2558454"
2023,"成功事業區47林班","MA-H34-08","1","287832","2570545"
2023,"成功事業區47林班","MA-H34-08","2","288352","2570411"
2023,"成功事業區47林班","MA-H34-08","4","289145","2569548"
2023,"成功事業區49林班","MA-H34-09","1","289112","2573000"
2023,"成功事業區49林班","MA-H34-09","2","289270","2572785"
2023,"成功事業區52林班","MA-H34-10","4","293562","2580559"
2023,"成功事業區52林班","MA-H34-10","6","294051","2580794"
2023,"成功事業區52林班","MA-H34-10","1","292867","2580735"
2023,"成功事業區52林班","MA-H34-10","2","293075","2580570"
2023,"成功事業區61林班","MA-H34-12","2","296726","2591472"
2023,"台8線72k","MB-C10-01","6","271125","2682688"
2023,"台8線100k","MB-C10-05","1","277759","2680580"
2023,"甲區38林班","MB-C10-09","2","282184","2693550"
2023,"甲區38林班","MB-C10-09","5","281944","2693176"
2023,"甲區43林班","MB-C10-11","4","282950","2694051"
2023,"菜園林道","MB-C11-01","5","246865","2680095"
2023,"220林道","MB-C11-02","1","249461","2683934"
2023,"鳶嘴山","MB-C11-05","6","245570","2681470"
2023,"船形山苗圃","MB-C11-07","6","250891","2683511"
2023,"580林道","MB-C12-11","1","248400","2694909"
2023,"580林道","MB-C12-11","5","249018","2695219"
2023,"二分所","MB-D14-02","1","253790","2630763"
2023,"二分所","MB-D14-02","5","254450","2630655"
2023,"巒大42林班","MB-D14-08","5","248081","2629712"
2023,"巒大42林班","MB-D14-08","7","248376","2629292"
2023,"台大實驗林內，近123、 124林班","MB-D15-04","2","240105","2615013"
2023,"台大實驗林內，近123、 124林班","MB-D15-04","4","240473","2614926"
2023,"巒大89林班","MB-D15-06","4","241068","2622473"
2023,"巒大89林班","MB-D15-06","6","241434","2622263"
2023,"長興林道7K","MB-D16-08","2","242791","2667451"
2023,"杉林溪(分站)","MB-D18-06","1","229364","2615454"
2023,"台18-4(98K)","MB-E20-04","2","235473","2597073"
2023,"台18-4(98K)","MB-E20-04","6","236370","2597235"
2023,"塔山步道","MB-E20-09","5","230421","2603237"
2023,"龍美","MB-E22-01","3","213418","2589206"
2023,"龍美","MB-E22-01","4","213473","2588947"
2023,"藤枝遊樂區","MB-F23-08","3","225323","2552134"
2023,"藤枝遊樂區","MB-F23-08","4","225367","2552320"
2023,"霧台阿禮B","MB-F25-05","4","225530","2513136"
2023,"台東6-8林班利家段","MB-H32-05","3","253237","2522729"
2023,"台東6-8林班利家段","MB-H32-05","6","253560","2522962"
2023,"紅石林道","MB-H33-06","2","263910","2551879"
2023,"鹿林前山","MC-E20-05","5","237815","2596465"
2023,"安通越嶺古道","MA-G27-09","1","288657","2575170"
2023,"安通越嶺古道","MA-G27-09","5","288308","2576000"
2023,"安通越嶺古道","MA-G27-09","6","288169","2575781"
2023,"安通越嶺古道","MA-G27-09","2","288586","2575415"
