"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-E22-05","蘆籐坪","4","212453","2582326",2020
"MA-E22-05","蘆籐坪","2","212674","2582757",2020
"MA-E22-06","大埔事業區39林班","3","205195","2581540",2020
"MA-E22-06","大埔事業區39林班","4","205373","2581469",2020
"MA-E22-06","大埔事業區39林班","6","205492","2581238",2020
"MA-E22-06","大埔事業區39林班","1","204912","2581826",2020
"MA-E22-07","馬頭山路口公車站","1","210235","2580735",2020
"MA-E22-07","馬頭山路口公車站","5","209794","2579858",2020
"MA-E22-09","長枝坑溪","2","209012","2573845",2020
"MA-E22-09","長枝坑溪","3","209186","2573693",2020
"MA-E22-09","長枝坑溪","5","209558","2573452",2020
"MA-E22-10","第三莊公車站","3","205591","2570025",2020
"MA-E22-10","第三莊公車站","6","206008","2569442",2020
"MA-E22-12","麻竹湖吊橋","3","213312","2575146",2020
"MA-E22-13","奉龍谷瀑布","3","210553","2572523",2020
"MA-F23-07","花果山","6","217233","2545324",2020
"MA-F24-02","31林班","3","210009","2552283",2020
"MA-F24-03","34林班","2","206983","2549613",2020
"MA-F24-04","47,49林班","3","209201","2538709",2020
"MA-F24-04","47,49林班","4","209158","2539162",2020
"MA-F24-08","46林班","4","207754","2538437",2020
"MA-F24-08","46林班","6","207651","2538798",2020
"MA-F24-10","月光山","3","203048","2536205",2020
"MA-F25-01","大津瀑布(慈津保宮)","3","213441","2528883",2020
"MA-F25-01","大津瀑布(慈津保宮)","4","213258","2528899",2020
"MA-F25-01","大津瀑布(慈津保宮)","6","213610","2530952",2020
"MA-F25-09","往潮39保留地","6","224713","2458434",2020
"MA-F25-10","丹路","3","223954","2455205",2020
"MA-F25-11","竹坑","2","220124","2451071",2020
"MA-F25-11","竹坑","3","220264","2451197",2020
"MA-F25-12","壽卡往內文","3","232094","2460444",2020
"MA-F25-12","壽卡往內文","2","231331","2460630",2020
"MA-F25-12","壽卡往內文","4","232402","2460522",2020
"MA-F26-04","國產局接管地射麻裡段","6","231173","2438674",2020
"MA-F26-06","恆春事業區第57林班","6","234218","2445024",2020
"MA-F26-07","恆春事業區第39林班","4","230163","2436797",2020
"MA-F26-10","宣化段、五里亭段","4","225570","2439017",2020
"MA-G27-01","鹿鳴","7","275874","2579536",2020
"MA-G27-04","樂合","2","288134","2579656",2020
"MA-G27-04","樂合","6","287158","2579725",2020
"MA-G27-04","樂合","1","288323","2579566",2020
"MA-G27-05","阿眉溪","2","284793","2571418",2020
"MA-G27-06","台23線","2","279048","2557324",2020
"MA-G27-06","台23線","1","278904","2557004",2020
"MA-G28-01","木瓜山8林班","2","304782","2656336",2020
"MA-G28-01","木瓜山8林班","3","304985","2656305",2020
"MA-G28-02","北坑","2","306632","2631689",2020
"MA-G28-02","北坑","4","306154","2631781",2020
"MA-G28-02","北坑","6","306591","2631863",2020
"MA-G28-02","北坑","5","306444","2632054",2020
"MA-G28-03","南坑","1","304899","2629655",2020
"MA-G28-03","南坑","2","304979","2629880",2020
"MA-G28-05","嶺頂路207","5","307864","2639248",2020
"MA-G28-05","嶺頂路207","7","307638","2638763",2020
"MA-G28-06","月眉208卡箱","3","307182","2640201",2020
"MA-G28-06","月眉208卡箱","5","307077","2640031",2020
"MA-G29-03","佳民村","1","309258","2659823",2020
"MA-G29-03","佳民村","2","309444","2660031",2020
"MA-G29-03","佳民村","5","309495","2660515",2020
"MA-G29-05","克寶山","2","325045","2688713",2020
"MA-G29-05","克寶山","3","324993","2688369",2020
"MA-G29-05","克寶山","1","325761","2688539",2020
"MA-G29-07","洛韶※","3","298488","2676812",2020
"MA-G30-08","八里灣99林班","2","300688","2608052",2020
"MA-G30-08","八里灣99林班","1","300758","2608541",2020
"MA-G30-09","縣道193線山興","6","300324","2622042",2020
"MA-G30-10","光豐公路5k+500","2","297820","2616831",2020
"MA-G30-10","光豐公路5k+500","3","298063","2616636",2020
"MA-G30-13","縣道193線50k草鼻","2","301297","2627797",2020
"MA-G30-13","縣道193線50k草鼻","3","301081","2627714",2020
"MA-H31-02","大武11林班富山產業道路","1","246678","2495342",2020
"MA-H31-02","大武11林班富山產業道路","6","246534","2494429",2020
"MA-H31-03","大武21林班金崙溪流域","1","240170","2490933",2020
"MA-H31-04","大武24林班大竹溪流域","4","236144","2482793",2020
"MA-H31-04","大武24林班大竹溪流域","3","235946","2482699",2020
"MA-H31-04","大武24林班大竹溪流域","2","235780","2482554",2020
"MA-H31-04","大武24林班大竹溪流域","1","235563","2482508",2020
"MA-H31-08","大武38林班浸水營步道中海拔處","1","232096","2475161",2020
"MA-H31-09","大武44林班加拉板溪","1","235473","2472717",2020
"MA-H31-09","大武44林班加拉板溪","2","235689","2472793",2020
"MA-H31-10","保安林2520","1","234931","2468724",2020
"MA-H31-13","安朔段","1","232681","2468330",2020
"MA-H31-13","安朔段","2","232883","2468426",2020
"MA-H31-13","安朔段","3","233030","2468571",2020
"MA-H31-13","安朔段","4","233225","2468618",2020
"MA-H32-02","台東4林班","4","256266","2526874",2020
"MA-H32-06","台東8林班","1","253506","2519886",2020
"MA-H32-06","台東8林班","2","253636","2519785",2020
"MA-H32-06","台東8林班","3","253726","2519542",2020
"MA-H32-06","台東8林班","4","253678","2519373",2020
"MA-H32-06","台東8林班","5","253567","2519197",2020
"MA-H32-06","台東8林班","6","253817","2518911",2020
"MA-H32-08","台東30林班","2","254065","2515919",2020
"MA-H32-08","台東30林班","4","254226","2515796",2020
"MA-H32-08","台東30林班","6","254179","2515129",2020
"MA-H32-09","台東31林班知本林道","2","249535","2512164",2020
"MA-H32-09","台東31林班知本林道","5","250257","2511245",2020
"MA-H33-01","龍泉","2","268122","2562555",2020
"MA-H33-01","龍泉","3","268310","2562734",2020
"MA-H33-01","龍泉","5","268610","2562863",2020
"MA-H33-01","龍泉","7","269157","2562590",2020
"MA-H33-05","新武海棗保護區","8","259430","2559876",2020
"MA-H33-05","新武海棗保護區","1","262006","2558715",2020
"MA-H33-08","永康廢棄林道","1","260935","2536440",2020
"MA-H33-11","鸞山松林","3","267690","2533374",2020
"MA-H33-12","寶華","1","268873","2541648",2020
"MA-H33-12","寶華","5","269430","2540311",2020
"MA-H33-13","電光日出","8","269610","2546484",2020
"MA-H33-14","富興山棕寮","8","274279","2551476",2020
"MA-H33-15","台東縣內本鹿古道※","2","253708","2530359",2020
"MA-H33-15","台東縣內本鹿古道※","5","253115","2530061",2020
"MA-H34-01","成功事業區13林班","5","280069","2540663",2020
"MA-H34-01","成功事業區13林班","4","279878","2540599",2020
"MA-H34-02","成功事業區37林班","1","282121","2545503",2020
"MA-H34-02","成功事業區37林班","6","282794","2546009",2020
"MA-H34-03","成功事業區28林班","5","275645","2550092",2020
"MA-H34-04","成功事業區30林班","1","279195","2550593",2020
"MA-H34-04","成功事業區30林班","2","279042","2550770",2020
"MA-H34-04","成功事業區30林班","6","278272","2551491",2020
"MA-H34-04","成功事業區30林班","3","278764","2550914",2020
"MA-H34-05","成功事業區32林班","4","278132","2555319",2020
"MA-H34-05","成功事業區32林班","2","277593","2555310",2020
"MA-H34-05","成功事業區32林班","1","277405","2555158",2020
"MA-H34-06","成功事業區40林班","1","284907","2558176",2020
"MA-H34-07","成功事業區41林班","1","286585","2560428",2020
"MA-H34-07","成功事業區41林班","3","286793","2560796",2020
"MA-H34-07","成功事業區41林班","4","287026","2560363",2020
"MA-H34-08","成功事業區47林班","1","287832","2570545",2020
"MA-H34-08","成功事業區47林班","3","288568","2569852",2020
"MA-H34-09","成功事業區49林班","1","289112","2573000",2020
"MA-H34-11","成功事業區54林班","3","294459","2582346",2020
"MA-H34-11","成功事業區54林班","4","294682","2582284",2020
"MA-H34-12","成功事業區61林班","1","296471","2591413",2020
"MB-A01-03","明池","1","296494","2726348",2020
"MB-A01-03","明池","2","296606","2726634",2020
"MB-A01-03","明池","3","296766","2726645",2020
"MB-A01-04","棲蘭A","3","293981","2720235",2020
"MB-A01-04","棲蘭A","6","294382","2720601",2020
"MB-A01-05","棲蘭D","2","295113","2721412",2020
"MB-A01-06","鴛鴦湖130號林道※","1","293749","2721127",2020
"MB-A01-06","鴛鴦湖130號林道※","2","293433","2721156",2020
"MB-A01-06","鴛鴦湖130號林道※","3","293293","2721393",2020
"MB-B06-10","二本松","1","249213","2699880",2020
"MB-C10-09","甲區38林班","2","282184","2693550",2020
"MB-C10-10","甲區41林班","1","286207","2699022",2020
"MB-C10-14","吹上山","4","269507","2682872",2020
"MB-C11-07","船形山苗圃","1","249969","2684593",2020
"MB-C12-03","540林道鐵門","2","248062","2689600",2020
"MB-C12-10","580林道-鐵門","3","248248","2694270",2020
"MB-C12-11","580林道","1","248400","2694909",2020
"MB-C13-03","勢麗仙區101","3","252174","2677040",2020
"MB-D14-03","三分所","5","256515","2627982",2020
"MB-E20-04","台18-4(98K)","5","236114","2597010",2020
"MB-E20-04","台18-4(98K)","6","236370","2597235",2020
"MB-E20-04","台18-4(98K)","2","235473","2597073",2020
"MB-E20-04","台18-4(98K)","4","235880","2596949",2020
"MB-E21-07","大埔事業區164林班","3","221655","2592798",2020
"MB-E21-08","里佳","1","218920","2587558",2020
"MB-E21-12","森鐵41號隧道","5","225038","2598794",2020
"MB-E22-01","龍美","4","213473","2588947",2020
"MB-E22-01","龍美","6","213652","2588496",2020
"MB-F23-08","藤枝遊樂區","1","225098","2551998",2020
"MB-F23-08","藤枝遊樂區","5","225308","2552556",2020
"MB-G28-13","磐石（瀧溪山）","1","289791","2657618",2020
"MB-G29-01","大禹嶺","1","283109","2675631",2020
"MB-G29-01","大禹嶺","3","282820","2675147",2020
"MB-G29-01","大禹嶺","2","283187","2675314",2020
"MB-G29-08","卡拉寶山※","1","289179","2675386",2020
"MB-G29-08","卡拉寶山※","8","289584","2674829",2020
"MB-G29-08","卡拉寶山※","6","290928","2675089",2020
"MB-G29-09","花蓮縣關原※","4","284402","2675787",2020
"MB-G29-09","花蓮縣關原※","7","284098","2675712",2020
"MB-H32-05","台東7林班利嘉林道","6","253560","2522962",2020
"MB-H32-05","台東7林班利嘉林道","1","253032","2523106",2020
"MB-H32-05","台東7林班利嘉林道","4","253336","2522851",2020
"MB-H33-16","南部橫貫公路 1687","3","252801","2567630",2020
"MC-C11-12","小雪山雷達站","4","254247","2687633",2020
"MC-E20-05","鹿林前山","5","237815","2596465",2020
"MC-E20-05","鹿林前山","6","237352","2596282",2020
